UID	SRS718908	SRS718980	SRS718910	SRS718911	SRS718914	SRS718915	SRS718916	SRS718917	SRS718930	SRS718931	SRS718933	SRS718937	SRS718939	SRS718940	SRS718944	SRS718945	SRS718951	SRS718952	SRS718955	SRS718956	SRS718957	SRS718975	SRS718958	SRS718959	SRS874618	SRS874619	SRS874620
C1orf112:ENSG00000000460:E7.5-I7.1|ENSG00000000460:E7.5-E9.2	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0.19047619	0	0	0	0	0	0	0	0		
C1orf112:ENSG00000000460:E8.2-E9.1|ENSG00000000460:E7.5-E9.2	0	0.125		0	0.054054054	0	0.052631579	0.052631579	0	0.089285714	0.093023256	0	0.055555556	0.049382716	0	0.029411765	0.227272727	0	0	0.022727273	0	0.035714286	0.02	0	0.033898305		
C1orf112:ENSG00000000460:E7.5-E9.2|ENSG00000000460:E7.5_169764353-E9.1_169768059	1	0.875		0.888888889	0.945945946	0.916666667	0.947368421	0.763157895	1	0.910714286	0.906976744	0.829268293	0.916666667	0.950617284	0.929824561	0.941176471	0.505376344	1	0.964285714	0.977272727	0.894736842	0.928571429	0.98	0.85	0.898305085		
C1orf112:ENSG00000000460:I7.1-E8.1|ENSG00000000460:E7.5-E9.2	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0.227272727	0	0	0	0	0	0	0	0		
FGR:ENSG00000000938:E1.3-E4.1|ENSG00000000938:E3.2-E4.1	0.900221729	0.683510638	0.516853933	0.673846154	0.51735798	0.533248082	0.459436379	0.51846907	0.561563849	0.574814126	0.636615811	0.558343789	0.644314869	0.661904762	0.522553191	0.658179504	0.535508637	0.648854962	0.52739726	0.450704225	0.410749834	0.44	0.603864734	0.591567852	0.460984394	0.530612245	0.617647059
FGR:ENSG00000000938:E2.1-E4.1|ENSG00000000938:E1.3-E4.1	0.00886918	0.037234043	0.191011236	0.061538462	0.025594564	0.020460358	0.027373824	0.025985663	0.025293817	0.023234201	0.028511822	0.021437579	0.042274052	0.014285714	0.030068729	0.027287319	0.038387716	0.08778626	0.020547945	0.050704225	0.03715992	0.02	0.065217391	0.021592443	0.034813926	0.183673469	0.004901961
NFYA:ENSG00000001167:E1.2-E3.1_41046744|ENSG00000001167:E1.2-E3.1	0	0	0.02173913	0	0.015748031	0	0	0	0	0	0	0	0	0	0.005291005	0	0.006756757	0	0	0	0	0	0	0	0.023809524	0	0
NFYA:ENSG00000001167:E1.2-E3.1|ENSG00000001167:E1.2-E5.1	0.934065934	0.909090909	0.847826087	0.904109589	0.921259843	0.959459459	0.966101695	0.936936937	0.956521739	0.941935484	0.935251799	0.992805755	0.935483871	0.936073059	0.936507937	0.913978495	0.966216216	0.903409091	0.948717949	0.994219653	0.965034965	0.900826446	0.938596491	0.900826446	0.952380952	1	1
NFYA:ENSG00000001167:E3.1-E5.1|ENSG00000001167:E4.2-E5.1	0.780487805	0.728	0.426160338	0.602803738	0.378504673	0.663551402	0.608247423	0.512690355	0.592307692	0.397959184	0.446078431	0.446366782	0.231023102	0.813868613	0.47826087	0.473684211	0.370646766	0.492146597	0.577235772	0.5	0.518987342	0.550632911	0.392638037	0.625	0.321428571	0.533333333	0.3125
NFYA:ENSG00000001167:E3.1-E4.1|ENSG00000001167:E3.1-E5.1	0.041666667	0.129464286	0.375690608	0.192982456	0.388157895	0.188888889	0.243902439	0.322368421	0.161290323	0.397196262	0.317241379	0.384259259	0.541436464	0.087301587	0.276699029	0.3046875	0.405797101	0.302013423	0.287128713	0.3	0.239316239	0.209677419	0.342105263	0.134020619	0.418604651	0.272727273	0.454545455
